canonical_name,category,unit,keywords
Dorade Royal,fisch,kg,"dorade,dorade royal,goldbrasse"
Forellen vers. Sort.,fisch,kg,"forelle,forellen,regenbogenforelle"
Moscardini Moschus Krake,fisch,kg,"moscardini,moschus krake,krake,baby oktopus"
Pulpo MAP 2kg Schale,fisch,kg,"pulpo,oktopus,tintenfisch"
Schwertfischfilet mH 2-4kg,fisch,kg,"schwertfisch,schwertfischfilet"
Seelachsfilet vers. Sort.,fisch,kg,"seelachs,seelachsfilet,alaska seelachs"
Seeteufelschwänze o.K. 1-4kg,fisch,kg,"seeteufel,seeteufelschwaenze,monkfish"
Skreifilet mit/ohne Haut 500-1000g,fisch,kg,"skrei,skreifilet,winterkabeljau"
White Tiger Garnelen 20-40,fisch,kg,"tiger garnelen,garnelen,white tiger,shrimps"
Blockhouse Rinderfilet 3/4 Uruguay,fleisch,kg,"blockhouse rinderfilet,block house rinderfilet,rinderfilet uruguay"
Blockhouse Rinderroastbeef Uruguay,fleisch,kg,"blockhouse rinderroastbeef,block house roastbeef,roastbeef uruguay"
Hackfleisch gemischt,fleisch,kg,"hackfleisch,hack gemischt,mischgehacktes"
Jungschaflachse TK,fleisch,kg,"jungschaflachse,lammlachse,lamm lachse,schaflachse"
Kalbs Carree Frenched Racks,fleisch,kg,"kalbs carree,kalbscarree,frenched racks,kalbsracks"
Kalbsbraten Dicker Bug hell,fleisch,kg,"kalbsbraten,kalbs bug,kalbsbug"
Kalbsgulasch a.d. Unterschale,fleisch,kg,"kalbsgulasch,kalbs gulasch"
Kalbskugel hell,fleisch,kg,"kalbskugel,kalbs kugel"
Kalbsleber hell TK,fleisch,kg,"kalbsleber,kalbs leber"
Kalbsschnitzel a.d. Unterschale,fleisch,kg,"kalbsschnitzel,kalbs schnitzel"
Kalbssemerrolle rose,fleisch,kg,"kalbssemerrolle,kalbs semerrolle,semerrolle"
Kalbssteakhuefte rose,fleisch,kg,"kalbssteakhuefte,kalbs steakhuefte,kalbshuefte"
Kasselernacken,fleisch,kg,"kasselernacken,kasseler nacken,kassler"
Lamm ganz TK ca. 15kg,fleisch,kg,"lamm ganz,ganzes lamm"
Lammfilet TK,fleisch,kg,"lammfilet,lamm filet"
Lammhinterhaxe TK,fleisch,kg,"lammhinterhaxe,lamm hinterhaxe,lammhaxe"
Lammkeule TK m.K.,fleisch,kg,"lammkeule,lamm keule"
Lammkotelett TK,fleisch,kg,"lammkotelett,lamm kotelett,lammkoteletts"
Putenschnitzel,fleisch,kg,"putenschnitzel,puten schnitzel"
Rind Falsches Filet,fleisch,kg,"falsches filet,rind falsches filet,rinderfilet falsch"
Rinderbrust DT,fleisch,kg,"rinderbrust,rinder brust"
Rinder-Entrecote Simmentaler,fleisch,kg,"entrecote,rinder entrecote,rib eye,simmentaler"
Rinderfilet 3/4er Arg.,fleisch,kg,"rinderfilet,rinder filet,rindsfilet,argentinisch"
Rindergulasch a.d. Keule,fleisch,kg,"rindergulasch,rinder gulasch"
Rinderhueftsteaks Arg.,fleisch,kg,"rinderhuefte,rinder huefte,hueftsteak"
Rinderroastbeef Arg.,fleisch,kg,"rinderroastbeef,rinder roastbeef,roastbeef arg"
Rinderroastbeef Arg. TK,fleisch,kg,"rinderroastbeef tk,roastbeef tk,tiefkuehl roastbeef"
Rinderroastbeef Brasil,fleisch,kg,"roastbeef brasil,rinderroastbeef brasilien"
Rinderrouladen a.d. Oberschale,fleisch,kg,"rinderrouladen,rinder rouladen"
Rindertafelspitz EU,fleisch,kg,"tafelspitz,rindertafelspitz"
Schweinelachse TK,fleisch,kg,"schweinelachse,schweine lachse,schweinelachs"
Schweinenacken o.k.,fleisch,kg,"schweinenacken,schweine nacken,schweinenacken ohne knochen"
